date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:51	8733/8733	---M--	200	added ('200')	image/png	date:Fri,%2030%20Jan%202026%2008:32:18%20GMT	https://class.foxconnect.kr/resources/front/site/SITE_00000/images/favicon/ms-icon-144x144.png	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/resources/front/site/SITE_00000/images/favicon/ms-icon-144x144.png	(from https://class.foxconnect.kr/index.do)
14:30:51	1150/1150	---M--	200	added ('200')	image/x-icon	date:Fri,%2030%20Jan%202026%2008:32:18%20GMT	https://class.foxconnect.kr/resources/front/site/SITE_00000/images/favicon/favicon.ico	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/resources/front/site/SITE_00000/images/favicon/favicon.ico	(from https://class.foxconnect.kr/index.do)
14:30:51	230754/230754	---MCZ	200	added ('200')	text/css	date:Fri,%2030%20Jan%202026%2008:32:18%20GMT	https://class.foxconnect.kr/resources/front/site/SITE_00000/css/style.css?20240612-2	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/resources/front/site/SITE_00000/css/stylef784.css	(from https://class.foxconnect.kr/index.do)
14:30:52	5673/5673	---MCZ	200	added ('200')	text/css	date:Fri,%2030%20Jan%202026%2008:32:18%20GMT	https://class.foxconnect.kr/resources/front/site/SITE_00000/css/site.css?20240612	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/resources/front/site/SITE_00000/css/site25c3.css	(from https://class.foxconnect.kr/index.do)
14:30:52	2812/2812	---M--	200	added ('200')	image/svg+xml	date:Fri,%2030%20Jan%202026%2008:32:18%20GMT	https://class.foxconnect.kr/resources/front/site/SITE_00000/images/logo/logo.svg	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/resources/front/site/SITE_00000/images/logo/logo.svg	(from https://class.foxconnect.kr/index.do)
14:30:52	332/332	---M-Z	200	added ('200')	text/html	date:Fri,%2024%20Apr%202026%2005:30:52%20GMT	https://class.foxconnect.kr/	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/index-2.html	(from https://class.foxconnect.kr/index.do)
14:30:52	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:52%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?searchCnncSeCode=CLASS&menuNo=101&searchUpperCategory=UPPER_CTGRY100	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList7ee0.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:53	91577/91577	---M-Z	200	added ('200')	text/html	date:Fri,%2024%20Apr%202026%2005:30:53%20GMT	https://class.foxconnect.kr/fox/course/courseList.do?menuNo=100	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/course/courseList94ea.html	(from https://class.foxconnect.kr/index.do)
14:30:53	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:53%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=101&searchCnncSeCode=CLASS	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsListef36.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:53	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:53%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=102&searchCnncSeCode=CLASS	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList8d3b.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:53	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:53%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=103&searchCnncSeCode=CLASS	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList02c3.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:54	46842/46842	---M-Z	200	added ('200')	text/html	date:Fri,%2024%20Apr%202026%2005:30:54%20GMT	https://class.foxconnect.kr/fox/dicary/foxDicary.do?searchUpperDicaryNo=1	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/dicary/foxDicary40b0.html	(from https://class.foxconnect.kr/index.do)
14:30:54	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:54%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?searchCnncSeCode=CLASS&menuNo=139&searchUpperCategory=UPPER_CTGRY2900	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList10cc.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:54	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:54%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=139&searchCnncSeCode=CLASS&searchPsitnCode=PSITN01	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList2f96.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:54	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:54%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=140&searchCnncSeCode=CLASS&searchPsitnCode=PSITN01	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList7b7e.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:55	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:55%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=141&searchCnncSeCode=CLASS&searchPsitnCode=PSITN01	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList538c.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:55	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:55%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=142&searchCnncSeCode=CLASS&searchPsitnCode=PSITN01	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList40f0.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:55	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:55%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=319&searchCnncSeCode=CLASS&searchPsitnCode=PSITN01	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList04a3.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:55	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:55%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=143&searchCnncSeCode=CLASS&searchPsitnCode=PSITN02	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList2aa3.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:55	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:55%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=144&searchCnncSeCode=CLASS&searchPsitnCode=PSITN02	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsListab2f.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:56	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:56%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=145&searchCnncSeCode=CLASS&searchPsitnCode=PSITN02	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsListe68b.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:56	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:56%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=146&searchCnncSeCode=CLASS&searchPsitnCode=PSITN02	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList37a2.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:56	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:56%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=147&searchCnncSeCode=CLASS&searchPsitnCode=PSITN02	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsListc4d4.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:56	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:56%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?searchCnncSeCode=CLASS&menuNo=150&searchUpperCategory=UPPER_CTGRY1600	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList9049.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:57	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:57%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=150&searchCnncSeCode=CLASS	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList18f7.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:57	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:57%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=151&searchCnncSeCode=CLASS	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList36aa.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:57	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:57%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=152&searchCnncSeCode=CLASS	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList5b62.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:57	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:57%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?searchCnncSeCode=CLASS&menuNo=104&searchUpperCategory=UPPER_CTGRY400	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsListe23d.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
14:30:57	128/128	---M--	500	error ('500')	text/html	date:Fri,%2024%20Apr%202026%2005:30:58%20GMT	https://class.foxconnect.kr/fox/cls/clsList.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC?menuNo=104&searchCnncSeCode=CLASS	C:/Users/gihwan/Downloads/test123/class.foxconnect.kr/fox/cls/clsList3450.do;jsessionid=3F94255D69032FB3E536DFFF1763E2BC	(from https://class.foxconnect.kr/index.do)
